n_clusters,inertia_kmeans,inertia_minibatch
3,6971767390208.0,7063033872384.0
4,3747017129984.0,3762030116864.0
5,2173311909888.0,2640063758336.0
6,1422029357056.0,1457682251776.0
7,996076683264.0,1103629778944.0
8,722586304512.0,914166120448.0
9,549236637696.0,576624852992.0
10,447352602624.0,451010068480.0
11,374848323584.0,387672834048.0
12,336013262848.0,351201787904.0
13,273302945792.0,305596497920.0
14,235599069184.0,253820731392.0
15,211806486528.0,214162374656.0
16,192681918464.0,196783128576.0
17,154785742848.0,166738722816.0
18,134167339008.0,159828754432.0
19,120506990592.0,133774802944.0
